Name,DNSHostName,OperatingSystem,LastLogonTimestamp,Enabled,DistinguishedName
ACME-DC01,acme-dc01.corp.acme.example,Windows Server 2022 Datacenter,2026-07-02T21:36:00+00:00,True,"CN=ACME-DC01,OU=Domain Controllers,DC=corp,DC=acme,DC=example"
ACME-DC02,acme-dc02.corp.acme.example,Windows Server 2022 Datacenter,2026-07-02T19:12:00+00:00,True,"CN=ACME-DC02,OU=Domain Controllers,DC=corp,DC=acme,DC=example"
ACME-FS01,acme-fs01.corp.acme.example,Windows Server 2022 Datacenter,2026-07-02T16:48:00+00:00,True,"CN=ACME-FS01,OU=Servers,DC=corp,DC=acme,DC=example"
ACME-SQL01,acme-sql01.corp.acme.example,Windows Server 2022 Datacenter,2026-07-02T19:12:00+00:00,True,"CN=ACME-SQL01,OU=Servers,DC=corp,DC=acme,DC=example"
ACME-WEB01,acme-web01.corp.acme.example,Windows Server 2022 Datacenter,2026-07-02T14:24:00+00:00,True,"CN=ACME-WEB01,OU=Servers,DC=corp,DC=acme,DC=example"
ACME-APP01,acme-app01.corp.acme.example,Windows Server 2022 Datacenter,2026-07-02T21:36:00+00:00,True,"CN=ACME-APP01,OU=Servers,DC=corp,DC=acme,DC=example"
ACME-SQL02,acme-sql02.corp.acme.example,Windows Server 2022 Datacenter,2026-07-02T12:00:00+00:00,True,"CN=ACME-SQL02,OU=Servers,DC=corp,DC=acme,DC=example"
ACME-WS-001,acme-ws-001.corp.acme.example,Windows 11 Enterprise,2026-07-01T12:00:00+00:00,True,"CN=ACME-WS-001,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-002,acme-ws-002.corp.acme.example,Windows 11 Enterprise,2026-06-30T12:00:00+00:00,True,"CN=ACME-WS-002,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-003,acme-ws-003.corp.acme.example,Windows 11 Enterprise,2026-06-29T12:00:00+00:00,True,"CN=ACME-WS-003,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-004,acme-ws-004.corp.acme.example,Windows 11 Enterprise,2026-06-28T12:00:00+00:00,True,"CN=ACME-WS-004,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-005,acme-ws-005.corp.acme.example,Windows 11 Enterprise,2026-06-27T12:00:00+00:00,True,"CN=ACME-WS-005,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-006,acme-ws-006.corp.acme.example,Windows 11 Enterprise,2026-06-26T12:00:00+00:00,True,"CN=ACME-WS-006,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-007,acme-ws-007.corp.acme.example,Windows 11 Enterprise,2026-07-02T12:00:00+00:00,True,"CN=ACME-WS-007,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-008,acme-ws-008.corp.acme.example,Windows 11 Enterprise,2026-07-01T12:00:00+00:00,True,"CN=ACME-WS-008,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-009,acme-ws-009.corp.acme.example,Windows 11 Enterprise,2026-06-28T12:00:00+00:00,True,"CN=ACME-WS-009,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-010,acme-ws-010.corp.acme.example,Windows 11 Enterprise,2026-07-02T12:00:00+00:00,True,"CN=ACME-WS-010,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-011,acme-ws-011.corp.acme.example,Windows 11 Enterprise,2026-07-01T12:00:00+00:00,True,"CN=ACME-WS-011,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-012,acme-ws-012.corp.acme.example,Windows 11 Enterprise,2026-06-30T12:00:00+00:00,True,"CN=ACME-WS-012,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-013,acme-ws-013.corp.acme.example,Windows 11 Enterprise,2026-06-29T12:00:00+00:00,True,"CN=ACME-WS-013,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-014,acme-ws-014.corp.acme.example,Windows 11 Enterprise,2026-07-01T12:00:00+00:00,True,"CN=ACME-WS-014,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-015,acme-ws-015.corp.acme.example,Windows 10 Enterprise,2026-06-29T12:00:00+00:00,True,"CN=ACME-WS-015,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-016,acme-ws-016.corp.acme.example,Windows 10 Enterprise,2026-06-28T12:00:00+00:00,True,"CN=ACME-WS-016,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-017,acme-ws-017.corp.acme.example,Windows 10 Enterprise,2026-06-27T12:00:00+00:00,True,"CN=ACME-WS-017,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-018,acme-ws-018.corp.acme.example,Windows 10 Enterprise,2026-07-02T12:00:00+00:00,True,"CN=ACME-WS-018,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-019,acme-ws-019.corp.acme.example,Windows 10 Enterprise,2026-07-01T12:00:00+00:00,True,"CN=ACME-WS-019,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-020,acme-ws-020.corp.acme.example,Windows 11 Enterprise,2026-07-02T07:12:00+00:00,True,"CN=ACME-WS-020,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-021,acme-ws-021.corp.acme.example,Windows 11 Enterprise,2026-07-02T16:48:00+00:00,True,"CN=ACME-WS-021,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-022,acme-ws-022.corp.acme.example,Windows 11 Enterprise,2026-07-02T09:36:00+00:00,True,"CN=ACME-WS-022,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-023,acme-ws-023.corp.acme.example,Windows 11 Enterprise,2026-07-01T00:00:00+00:00,True,"CN=ACME-WS-023,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-024,acme-ws-024.corp.acme.example,Windows 10 Enterprise,2026-07-02T00:00:00+00:00,True,"CN=ACME-WS-024,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-WS-025,acme-ws-025.corp.acme.example,Windows 10 Enterprise,2026-05-04T00:00:00+00:00,False,"CN=ACME-WS-025,OU=Workstations,DC=corp,DC=acme,DC=example"
ACME-LT-001,acme-lt-001.corp.acme.example,Windows 11 Enterprise,2026-07-01T00:00:00+00:00,True,"CN=ACME-LT-001,OU=Laptops,DC=corp,DC=acme,DC=example"
ACME-LT-002,acme-lt-002.corp.acme.example,Windows 11 Enterprise,2026-06-30T00:00:00+00:00,True,"CN=ACME-LT-002,OU=Laptops,DC=corp,DC=acme,DC=example"
ACME-LT-003,acme-lt-003.corp.acme.example,Windows 11 Enterprise,2026-06-29T00:00:00+00:00,True,"CN=ACME-LT-003,OU=Laptops,DC=corp,DC=acme,DC=example"
ACME-LT-004,acme-lt-004.corp.acme.example,Windows 11 Enterprise,2026-07-02T00:00:00+00:00,True,"CN=ACME-LT-004,OU=Laptops,DC=corp,DC=acme,DC=example"
ACME-LT-005,acme-lt-005.corp.acme.example,Windows 11 Enterprise,2026-07-01T00:00:00+00:00,True,"CN=ACME-LT-005,OU=Laptops,DC=corp,DC=acme,DC=example"
ACME-LT-006,acme-lt-006.corp.acme.example,Windows 11 Enterprise,2026-06-30T00:00:00+00:00,True,"CN=ACME-LT-006,OU=Laptops,DC=corp,DC=acme,DC=example"
ACME-LT-007,acme-lt-007.corp.acme.example,Windows 11 Enterprise,2026-07-01T19:12:00+00:00,True,"CN=ACME-LT-007,OU=Laptops,DC=corp,DC=acme,DC=example"
ACME-LT-008,acme-lt-008.corp.acme.example,Windows 11 Enterprise,2026-07-02T02:24:00+00:00,True,"CN=ACME-LT-008,OU=Laptops,DC=corp,DC=acme,DC=example"
ACME-LT-009,acme-lt-009.corp.acme.example,Windows 11 Enterprise,2026-07-02T04:48:00+00:00,True,"CN=ACME-LT-009,OU=Laptops,DC=corp,DC=acme,DC=example"
